종가,오픈,고가,저가
1166.32,1156.1,1170.85,1156.1
1165.94,1166.07,1167.86,1161.15
1168.74,1166.19,1175.75,1166.19
1167.28,1166.4,1171.7,1163.3
1166.83,1167.28,1167.28,1161.4
1181.11,1166.83,1181.79,1166.83
1177.22,1181.11,1183.57,1175.9
1185.5,1177.22,1186.65,1176.8
1176.57,1176.35,1176.57,1176.35
1176.15,1176.92,1183.3,1173.17
1180.91,1178.4,1180.91,1176.4
1180.47,1181.01,1185.9,1177.07
1182.5,1180.37,1183.95,1176.4
1179.59,1183.1,1184.3,1179.59
1178.43,1179.59,1181.8,1175.2
1174.5,1176.3,1176.3,1173.22
1164.85,1174.6,1175.1,1163.35
1174.09,1164.75,1176.55,1164.75
1171.5,1164.7,1171.55,1164.7
1169.25,1171.6,1174.3,1167.9
1166.54,1169.05,1170.1,1165.65
1164.37,1166.54,1168.65,1164.14
1164.86,1164.37,1166.3,1161.75
1157.5,1157.4,1160.2,1156.8
1153.35,1157.6,1161.3,1153.3
1152.71,1153.55,1155.1,1150.5
1154.45,1152.81,1154.75,1147.7
1158.94,1154.35,1159.9,1154.35
1162.05,1157.0,1165.18,1156.4
1158.5,1162.25,1163.2,1157.0
1155.69,1158.6,1159.2,1155.57
1158.02,1155.6,1158.98,1153.0
1141.32,1158.6,1158.6,1140.85
1143.89,1141.0,1146.7,1140.4
1133.48,1143.5,1145.35,1133.41
1137.49,1134.15,1138.53,1132.55
1133.8,1138.55,1139.1,1133.4
1140.55,1133.45,1140.62,1133.45
1143.17,1145.3,1145.5,1141.2
1140.15,1143.27,1144.85,1140.15
1141.0,1144.5,1146.35,1140.08
1154.63,1141.1,1157.2,1140.6
1148.06,1154.63,1155.9,1147.5
1146.18,1148.06,1149.7,1145.5
1145.43,1146.18,1146.7,1141.9
1142.5,1145.33,1145.6,1137.6
1138.3,1142.6,1142.6,1137.5
1142.75,1138.45,1143.63,1138.05
1150.38,1142.6,1151.83,1142.6
1149.18,1150.18,1150.3,1146.15
1149.44,1149.38,1153.9,1149.3
1146.57,1149.24,1149.4,1146.15
1138.61,1146.77,1146.77,1138.3
1137.62,1138.41,1138.65,1133.3
1130.67,1137.62,1137.62,1130.0
1127.26,1130.97,1131.4,1125.6
1132.07,1127.05,1132.22,1127.05
1135.0,1132.08,1137.6,1132.08
1128.33,1134.9,1134.9,1124.1
1128.9,1128.13,1129.2,1125.6
1130.42,1129.3,1131.63,1126.4
1127.29,1130.42,1130.42,1124.5
1131.15,1127.13,1131.28,1125.7
1129.13,1131.15,1133.0,1128.83
1130.59,1130.6,1132.3,1128.13
1130.81,1130.59,1130.81,1130.59
1133.59,1130.61,1134.9,1130.61
1135.42,1133.89,1136.08,1131.5
1135.75,1135.47,1136.9,1134.75
1131.19,1135.6,1135.6,1130.3
1135.96,1130.99,1136.3,1130.99
1132.08,1131.95,1133.3,1129.6
1134.75,1132.08,1135.5,1132.0
1135.35,1134.75,1137.6,1134.0
1135.05,1135.34,1138.5,1135.05
1135.35,1135.33,1135.82,1133.6
1134.88,1135.3,1136.1,1133.55
1133.79,1134.78,1137.0,1133.55
1131.98,1133.79,1134.5,1130.1
1133.63,1131.58,1133.7,1130.8
1136.66,1135.8,1136.86,1134.1
1134.15,1136.1,1136.8,1133.9
1130.3,1129.05,1131.75,1129.05
1129.0,1130.3,1130.3,1127.75
1128.34,1128.95,1130.9,1128.1
1127.06,1128.54,1128.54,1125.7
1128.82,1127.14,1129.47,1126.4
1117.05,1128.62,1128.62,1116.6
1116.5,1117.15,1117.15,1113.4
1118.9,1116.6,1119.4,1116.6
1116.14,1118.7,1119.1,1114.87
1118.65,1116.34,1123.9,1115.0
1119.5,1118.56,1121.8,1118.2
1120.72,1119.6,1122.1,1118.5
1118.72,1120.67,1121.4,1118.0
1119.41,1118.53,1122.6,1118.53
1116.63,1119.41,1120.3,1116.45
1113.67,1116.63,1116.63,1110.9
1112.59,1113.47,1114.29,1112.59
1113.48,1112.59,1114.5,1111.4
1113.46,1113.48,1113.48,1113.46
1112.23,1113.46,1114.85,1111.98
1110.42,1112.32,1112.35,1107.6
1111.74,1110.22,1112.99,1109.5
1111.62,1111.74,1112.1,1109.8
1114.42,1111.82,1115.9,1111.82
1113.17,1114.49,1117.55,1112.67
1111.0,1113.07,1113.6,1110.1
1110.5,1111.0,1114.2,1109.98
1106.59,1110.49,1110.49,1106.15
1104.89,1106.5,1106.5,1103.8
1105.05,1104.78,1105.9,1103.96
1105.66,1105.05,1106.7,1102.84
1104.6,1105.76,1106.9,1104.0
1103.45,1100.75,1103.65,1100.75
1104.0,1105.5,1106.3,1102.9
1098.2,1103.1,1103.5,1097.6
1097.58,1096.85,1098.75,1095.15
1098.01,1097.58,1098.16,1094.55
